date,Month,hive_weight,hive_temperature,hive_humidity,ambient_temperature,ambient_humidity,ambient_luminosity,ambient_rain,wx_temp,wx_humidity,wx_wind,wx_gusts,wx_direction,wx_dewpoint,wx_pressure,wx_rain,battery,KMeansLabel,Estacao
2017-03-01 08:05:01,3,26.35,7.8,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:10:01,3,26.42,7.9,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:15:02,3,26.37,8.1,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:20:01,3,26.39,8.0,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:25:01,3,26.31,7.9,90.0,5.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:30:01,3,26.41,7.9,90.0,5.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:35:01,3,26.4,7.8,90.0,5.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:40:01,3,26.39,7.8,90.0,5.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:45:01,3,26.3,8.0,90.0,5.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:50:01,3,26.37,7.9,90.0,5.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:55:01,3,26.34,7.9,90.0,5.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:00:01,3,26.33,7.9,90.0,6.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:05:01,3,26.34,8.1,90.0,6.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:10:01,3,26.34,8.1,90.0,6.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:15:01,3,26.29,8.1,90.0,6.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:20:01,3,26.36,8.2,90.0,6.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:25:01,3,26.34,8.1,90.0,6.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:30:01,3,26.36,8.1,90.0,6.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:35:01,3,26.34,8.1,90.0,6.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:40:02,3,26.32,8.2,89.0,6.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:45:02,3,26.39,8.3,89.0,6.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 09:50:01,3,26.36,8.1,89.0,6.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
