temperatura interna,temperatura externa
34.4,27.76
34.59,28.77
34.63,29.86
34.53,31.09
34.89,31.8
35,32.81
35.13,34.33
35.36,33.75
34.98,33.67
35.3,32.38
35.15,33.04
35.02,32.94
35.06,32.51
35.17,32.4
35.02,32.91
34.98,31.45
34.87,29.5
34.96,29.28
35.17,28.85
35.06,28.79
34.91,28.64
34.65,27.69
34.63,27.67
34.61,26.81
34.35,27.2
34.46,26.51
34.68,25.85
34.93,25.31
34.14,25.07
34.5,25.7
34.83,25.31
34.27,25.54
34.68,25.57
34.65,25.33
34.42,24.88
34.55,24.45
34.33,24.06
34.27,23.76
34.07,24.19
34.38,23.59
34.29,23.4
34.57,23.35
34.07,23.27
34.14,23.78
34.2,24.58
34.57,25.57
34.22,26.4
34.42,27.63
34.42,27.78
34.63,28.7
34.5,30.31
34.55,31.5
34.87,32.81
35.17,34.14
35.13,34.01
35.32,32.87
35.26,33.43
35.23,32.85
35.02,32.55
34.93,33.58
35.21,32.81
35.17,33.6
35.23,32.01
35.26,30.59
34.78,29.84
35.06,29.13
34.93,28.83
34.55,28.57
34.8,27.93
34.72,27.61
34.57,27.18
34.33,27.05
34.72,26.15
34.22,25.74
34.38,25.67
34.65,25.59
34.38,25.29
34.57,25.87
34.42,24.6
34.61,24.99
34.46,24.54
34.05,24.58
34.29,24.17
34.29,23.89
34.35,23.55
33.9,22.99
34.35,23.2
34.03,23.4
34.07,23.42
34.03,23.72
33.62,23.96
34.05,24.71
34.12,25.27
34.07,25.74
33.73,26.83
34.18,27.84
34.55,29.05
34.7,30.42
34.53,31.37
34.93,31.5
34.83,32.48
35.11,32.83
34.96,32.7
35.13,32.87
35.23,32.85
34.78,32.74
35.47,32.66
35.3,33.32
35.17,33.95
35.02,31.5
35.17,30.55
35.04,29.69
34.89,27.46
34.91,27.13
34.48,27.22
34.38,26.75
34.5,26.43
34.16,26.79
34.46,26.12
34.31,26.43
34.14,26.19
34.16,25.29
34.33,25.05
34.12,24.6
33.77,25.05
34.14,24.36
33.82,23.98
34.05,23.1
33.54,23.33
34.2,23.07
